 bh1 bh2 time mratio halo haloMass kicked vrecoil vesc snapshot mass1 mass2 redshift
43553324 43553330 0.004230366877 0.999912 1 43003862.0 False 0.0253286143758 32.803832 h258.cosmo50cmb.3072gst1bwdK1BHa51.00006 26676 26674 21.506
43553452 43553510 0.005816634963 0.998368 3 133482690.0 False 0.470093064299 42.054624 h258.cosmo50cmb.3072gst1bwdK1BHa51.00009 26676 26632 16.4
43553537 43553560 0.005915186087 0.997532 13 43936875.0 False 0.711197026966 29.044318 h258.cosmo50cmb.3072gst1bwdK1BHa51.00009 26676 26610 16.4
43553537 43553578 0.005936786333 0.498609 13 43936875.0 True 157.035275514 29.044318 h258.cosmo50cmb.3072gst1bwdK1BHa51.00009 53286 26569 16.4
43553954 43554029 0.006239189781 0.998242 5 78206360.0 False 0.506418852558 35.205009 h258.cosmo50cmb.3072gst1bwdK1BHa51.00009 26676 26629 16.4
43554584 43554622 0.006735995445 0.997904 3 194512880.0 False 0.603886746545 46.11787 h258.cosmo50cmb.3072gst1bwdK1BHa51.00010 26676 26620 15.263
43553452 43554584 0.008312813423 0.997814 3 367606100.0 False 0.629845267529 53.764328 h258.cosmo50cmb.3072gst1bwdK1BHa51.00012 53308 53191 13.458
43553954 43553420 0.008468065193 0.501502 5 307421980.0 True 156.351902771 50.65559 h258.cosmo50cmb.3072gst1bwdK1BHa51.00012 53305 26732 13.458
43553324 43554700 0.009385063148 0.497148 2 577079600.0 True 157.376954361 59.462429 h258.cosmo50cmb.3072gst1bwdK1BHa51.00014 53350 26522 12.083
43560432 43560655 0.009630428446 0.998182 14 169323500.0 False 0.523718450015 39.497814 h258.cosmo50cmb.3072gst1bwdK1BHa51.00014 26676 26628 12.083
43560432 43560702 0.009652028692 0.499198 14 169323500.0 True 156.896873057 39.497814 h258.cosmo50cmb.3072gst1bwdK1BHa51.00014 53304 26609 12.083
43562762 43563043 0.010969643715 0.993632 8 353511260.0 False 1.83861240774 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26506 10.994
43562762 43563202 0.010991243961 0.496447 8 353511260.0 True 157.540067049 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 53182 26401 10.994
43563344 43563405 0.011034444453 0.9999 8 353511260.0 False 0.0287826890123 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26673 10.994
43563344 43563463 0.0110560447 0.49995 8 353511260.0 True 156.719625546 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 53349 26672 10.994
43563528 43563597 0.011099245192 0.9999 8 353511260.0 False 0.0287826890123 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26673 10.994
43563630 43563867 0.011120845439 0.997106 48 38507792.0 False 0.834133397765 23.078205 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26599 10.994
43563528 43563837 0.011120845439 0.49995 8 353511260.0 True 156.719625546 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 53349 26672 10.994
43564176 43564320 0.011164045931 0.9999 8 353511260.0 False 0.0287826890123 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26673 10.994
43564197 43564381 0.011164045931 0.995886 16 177404600.0 False 1.186492703 38.411521 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26566 10.994
43563630 43564026 0.011170458504 0.500109 48 38507792.0 True 156.682071218 23.078205 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 53275 26643 10.994
43564344 43564599 0.011185646177 0.9999 48 38507792.0 False 0.0287826890123 23.078205 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26673 10.994
43564197 43564610 0.011185646177 0.498588 16 177404600.0 True 157.04020314 38.411521 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 53242 26546 10.994
43564176 43564558 0.011185646177 0.49995 8 353511260.0 True 156.719625546 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 53349 26672 10.994
43564746 43564859 0.01122884667 0.9999 16 177404600.0 False 0.0287826890123 38.411521 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26673 10.994
43564719 43564838 0.01122884667 0.9999 8 353511260.0 False 0.0287826890123 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 26676 26673 10.994
43564719 43564942 0.011272047162 0.49995 8 353511260.0 True 156.719625546 48.315713 h258.cosmo50cmb.3072gst1bwdK1BHa51.00016 53349 26672 10.994
43565230 43565358 0.011444849133 0.997274 22 145013040.0 False 0.785645229108 36.129738 h258.cosmo50cmb.3072gst1bwdK1BHa51.00017 26676 26603 10.529
43565511 43565658 0.011488049625 0.998243 9 394132840.0 False 0.506130534695 49.207089 h258.cosmo50cmb.3072gst1bwdK1BHa51.00017 26676 26629 10.529
43565511 43565749 0.011509649871 0.498577 9 394132840.0 True 157.042784087 49.207089 h258.cosmo50cmb.3072gst1bwdK1BHa51.00017 53305 26577 10.529
43564344 43566764 0.011841753658 0.49995 138 14098563.0 True 156.719625546 16.215101 h258.cosmo50cmb.3072gst1bwdK1BHa51.00017 53349 26672 10.529
43568299 43568409 0.012200857752 0.998991 15 260185870.0 False 0.290549269044 42.000547 h258.cosmo50cmb.3072gst1bwdK1BHa51.00018 26676 26649 10.106
43568299 43568454 0.012222457998 0.498914 15 260185870.0 True 156.96365381 42.000547 h258.cosmo50cmb.3072gst1bwdK1BHa51.00018 53325 26605 10.106
43553282 43560067 0.015612346648 0.992656 4 1077823100.0 False 2.12143618991 62.257049 h258.cosmo50cmb.3072gst1bwdK1BHa51.00023 26676 26480 8.458
