M1 M2 M_BH2 r_z newredshift
5.30852400E+37 5.30812600E+37 6.99691154E+38 2.15060000E+01 1.52381183E+01
5.30852400E+37 5.29976800E+37 7.02825648E+38 1.64000000E+01 1.26843172E+01
5.30852400E+37 5.29539000E+37 7.04478689E+38 1.64000000E+01 1.26843172E+01
1.06039140E+38 5.28723100E+37 1.27687654E+38 1.64000000E+01 1.26843173E+01
5.30852400E+37 5.29917100E+37 7.03050608E+38 1.64000000E+01 1.26843174E+01
5.30852400E+37 5.29738000E+37 7.03726341E+38 1.52630000E+01 1.20366410E+01
1.06082920E+38 1.05850090E+38 1.49455311E+38 1.34580000E+01 1.09429721E+01
1.06076950E+38 5.31966800E+37 1.27514468E+38 1.34580000E+01 1.09429714E+01
1.06166500E+38 5.27787800E+37 1.27500867E+38 1.20830000E+01 1.00532684E+01
5.30852400E+37 5.29897200E+37 7.03125620E+38 1.20830000E+01 1.00532696E+01
1.06074960E+38 5.29519100E+37 1.27598801E+38 1.20830000E+01 1.00532696E+01
5.30852400E+37 5.27469400E+37 7.12398558E+38 1.09940000E+01 9.31242176E+00
1.05832180E+38 5.25379900E+37 1.28168808E+38 1.09940000E+01 9.31242158E+00
5.30852400E+37 5.30792700E+37 6.99765463E+38 1.09940000E+01 9.31242137E+00
1.06164510E+38 5.30772800E+37 1.27404010E+38 1.09940000E+01 9.31242241E+00
5.30852400E+37 5.30792700E+37 6.99765455E+38 1.09940000E+01 9.31242201E+00
5.30852400E+37 5.29320100E+37 7.05308106E+38 1.09940000E+01 9.31242176E+00
1.06164510E+38 5.30772800E+37 1.27404011E+38 1.09940000E+01 9.31242226E+00
5.30852400E+37 5.30792700E+37 6.99765454E+38 1.09940000E+01 9.31242205E+00
5.30852400E+37 5.28663400E+37 7.07808011E+38 1.09940000E+01 9.31242247E+00
1.06017250E+38 5.30195700E+37 1.27674955E+38 1.09940000E+01 9.31242205E+00
5.30852400E+37 5.30792700E+37 6.99765454E+38 1.09940000E+01 9.31242208E+00
1.05951580E+38 5.28265400E+37 1.27854847E+38 1.09940000E+01 9.31242187E+00
1.06164510E+38 5.30772800E+37 1.27404013E+38 1.09940000E+01 9.31242127E+00
5.30852400E+37 5.30792700E+37 6.99765461E+38 1.09940000E+01 9.31242152E+00
5.30852400E+37 5.30792700E+37 6.99765454E+38 1.09940000E+01 9.31242204E+00
1.06164510E+38 5.30772800E+37 1.27404013E+38 1.09940000E+01 9.31242147E+00
5.30852400E+37 5.29399700E+37 7.05006271E+38 1.05290000E+01 8.98609132E+00
5.30852400E+37 5.29917100E+37 7.03050615E+38 1.05290000E+01 8.98609056E+00
1.06076950E+38 5.28882300E+37 1.27617103E+38 1.05290000E+01 8.98609071E+00
1.06164510E+38 5.30772800E+37 1.27404011E+38 1.05290000E+01 8.98609120E+00
5.30852400E+37 5.30315100E+37 7.01553561E+38 1.01060000E+01 8.68396796E+00
1.06116750E+38 5.29439500E+37 1.27529831E+38 1.01060000E+01 8.68396727E+00
5.30852400E+37 5.26952000E+37 7.14406119E+38 8.45800000E+00 7.45835114E+00
